#
#   VizieR Astronomical Server: vizier.u-strasbg.fr 	2009-02-22T00:55:39
#   (replaces the 'Astrores' format originally described at
#    http://vizier.u-strasbg.fr/doc/astrores.htx)
#   In case of problem, please report to:	question@simbad.u-strasbg.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	-ref=VOTx26086	
#INFO	-out.max=50000	

#RESOURCE=yCat_7161
#Name: VII/161
#Title: Nearby Galaxies (Schmidt+ 1993)
#Coosys	B1950:	eq_FK4 B1950
#Table	VII_161_catalog:
#Name: VII/161/catalog
#Title: The Catalogue
#Column	_RAJ2000	(F6.2)	Right ascension (FK5) Equinox=J2000. (computed by VizieR, not part of the original data)	[ucd=pos.eq.ra;meta.main]
#Column	_DEJ2000	(F6.2)	Declination (FK5) Equinox=J2000. (computed by VizieR, not part of the original data)	[ucd=pos.eq.dec;meta.main]
#Column	SPB	(I3)	[1/276]+ Running number in order of RA1950	[ucd=meta.id;meta.main]
#Column	Name	(a19)	Name (or comma-separated list of names)	[ucd=meta.id]
#Column	RAB1950	(A7)	Right Ascension B1950 (hours)	[ucd=pos.eq.ra;meta.main]
#Column	DEB1950	(A6)	Declination B1950 (degrees)	[ucd=pos.eq.dec;meta.main]
#Column	HVel	(I4)	[]? Heliocentric velocity	[ucd=phys.veloc;pos.heliocentric]
#Column	Group	(a6)	Group membership	[ucd=meta.code.member]
#Column	i	(I2)	[]? Inclination (face-on, in degrees)	[ucd=src.orbital.inclination]
#Column	BT	(F5.2)	[]? Observed total photoelectric blue mag.	[ucd=phot.mag;em.opt.B]
#Column	logD25	(F5.2)	[]? Logarithm of the angular diameter D25	[ucd=phys.angSize;src]
#Column	IRAS	(a10)	Name of the main infrared source from the IRAS catalogue (1988) (several for more than one possible identification)	[ucd=meta.id.cross]
#Column	logR25	(F5.2)	[]? Logarithm of the axis ratio R25	[ucd=phys.size;arith.ratio]
#Column	logFIR	(F9.2)	[]? Logarithm of the far-infrared-flux (erg/cm2/s)	[ucd=phot.flux;em.IR]
#Column	Name2	(a19)	Alternate name(s)	[ucd=meta.id]
#Column	type	(F4.1)	[]? Morphological type (numerical encoded)	[ucd=src.morph.type]
_RAJ2000|_DEJ2000|SPB|Name|RAB1950|DEB1950|HVel|Group|i|BT|logD25|IRAS|logR25|logFIR|Name2|type
deg|deg|||"h:m:s"|"d:m:s"|km/s||deg|mag|[0.1arcmin]|||[mW/m2]||
------|------|---|-------------------|-------|------|----|------|--|-----|-----|----------|-----|---------|-------------------|----
002.06|-34.59|  1|E349-31            |00 05.7|-34 52| 207|B7a   |35|     | 1.05|          | 0.07|         |                   |10.0
003.75|-39.21|  2|N55                |00 12.5|-39 29| 127|B7a   |84| 8.42| 2.51|00125-3928| 0.76|    -8.33|-07-01-013         | 9.0
005.10|+59.29|  3|I10                |00 17.7|+59 01|-344|LG    |35|11.80| 1.80|00177+5900| 0.09|    -8.63|                   |10.0
007.25|+43.43|  4|U288               |00 26.3|+43 09| 188|field |  |     | 1.11|          | 0.20|         |                   |
008.31|+48.51|  5|N147               |00 30.5|+48 14|-187|LG    |57|10.47| 2.12|          | 0.23|         |08-02-005          |-5.0
008.82|+36.51|  6|A0032+36           |00 32.6|+36 14|    |LG    |  |     |     |          |     |         |                   |-5.0
009.74|+48.34|  7|N185               |00 36.2|+48 04|-204|LG    |53|10.10| 2.07|00362+4803| 0.07|   -10.38|                   |-5.0
010.08|+41.69|  8|N205               |00 37.6|+41 25|-236|LG    |58| 8.92| 2.34|00376+4124| 0.30|   -10.22|07-02-014          |-5.0
010.68|+40.87|  9|N221               |00 40.0|+40 36|-200|LG    |54| 9.03| 1.94|00399+4035| 0.13|    -9.86|07-02-015          |-6.0
010.68|+41.27| 10|N224               |00 40.0|+41 00|-301|LG    |77| 4.36| 3.28|several   | 0.49|    -7.26|07-02-016          | 3.0
010.77|-22.24| 11|I1574              |00 40.6|-22 31| 361|B7b   |63|14.32| 1.33|          | 0.44|         |-04-02-043         | 9.7
011.43|+38.01| 12|A0043+37           |00 43.0|+37 44|    |LG    |  |     | 1.40|          | 0.00|         |                   |-5.0
011.79|-20.76| 13|N247               |00 44.7|-21 02| 158|B7b   |72| 9.67| 2.33|00446-2101| 0.49|    -9.98|-04-03-005         | 7.0
011.89|-25.29| 14|N253               |00 45.1|-25 34| 249|B7b   |77| 8.04| 2.44|several   | 0.61|    -7.25|-04-03-009         | 5.0
012.47|-21.01| 15|E540-31            |00 47.4|-21 17| 301|B7b   |65|15.19| 1.23|          | 0.37|         |-04-03-019         |10.0
