#
#   VizieR Astronomical Server: vizier.u-strasbg.fr 	2009-02-22T01:01:30
#   (replaces the 'Astrores' format originally described at
#    http://vizier.u-strasbg.fr/doc/astrores.htx)
#   In case of problem, please report to:	question@simbad.u-strasbg.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	-ref=VOTx29231	
#INFO	-out.max=50000	

#RESOURCE=yCat_5085
#Name: V/85A
#Title: Stellar Mass Catalogue (Belikov 1995)
#Table	V_85A_catalog:
#Name: V/85A/catalog
#Title: The catalogue
#Column	_RAJ2000	(F8.4)	Right ascension (FK5) Equinox=J2000. (computed by VizieR, not part of the original data)	[ucd=pos.eq.ra;meta.main]
#Column	_DEJ2000	(F8.4)	Declination (FK5) Equinox=J2000. (computed by VizieR, not part of the original data)	[ucd=pos.eq.dec;meta.main]
#Column	Name	(a12)	Principal name of the system	[ucd=meta.id;meta.main]
#Column	OtherID	(a12)	Secondary identifier of the system	[ucd=meta.id]
#Column	M1	(F7.4)	Mass of primary component	[ucd=phys.mass]
#Column	e_M1	(F7.4)	? Mean error on M1	[ucd=stat.error]
#Column	M2	(F7.4)	Mass of secondary component	[ucd=phys.mass]
#Column	e_M2	(F7.4)	? Mean error on M2	[ucd=stat.error]
#Column	Method	(A2)	Method of mass determination (1)	[ucd=meta.code;obs]
#Column	n_Name	(A2)	Individual note explained in (5)	[ucd=meta.note]
#Column	AAAref	(a10)	Reference from AAA (2)	[ucd=meta.ref]
#Column	System	(a5)	Type of system (3)	[ucd=src.class]
#Column	Sp	(a20)	Spectral types of the two stars (4)	[ucd=src.spType]
#Column	_RA	(F8.4)	Position (derived from SIMBAD) (right ascension part)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F8.4)	Position (derived from SIMBAD) (declination part)	[ucd=pos.eq.dec;meta.main]
_RAJ2000|_DEJ2000|Name|OtherID|M1|e_M1|M2|e_M2|Method|n_Name|AAAref|System|Sp|_RA|_DE
deg|deg|||solMass|solMass|solMass|solMass||||||deg|deg
--------|--------|------------|------------|-------|-------|-------|-------|--|--|----------|-----|--------------------|--------|--------
025.4464|+42.6134|And 41 H    |BD +41 328  | 1.4400| 0.3500| 0.3800| 0.0700|V0|  |33.118.025|     |G1.5V+ dM           |025.4464|+42.6134
347.8837|+36.8931|And AB      |BD +36 5017 | 1.0100| 0.0200| 0.4900| 0.0100|S0|  |46.117.368|WW   |G5n+?               |347.8837|+36.8931
029.4419|+38.0746|And DS      |            | 1.5800| 0.1700| 0.9400| 0.1000|S0| 8|42.119.092|     |F3IV/V+G0V          |029.4419|+38.0746
294.7985|+05.3978|Aql sigma   |HD 185507   | 6.8000| 0.1000| 5.4000| 0.1000|S0|  |21.121.052|d    |B3+B3               |294.7985|+05.3978
294.7985|+05.3978|Aql sigma   |            | 6.9000|       | 5.4500|       |S0|  |02.117.001|     |B3+B4               |294.7985|+05.3978
297.7292|+13.2200|Aql SX      |            | 1.1900| 0.1300| 0.6400| 0.0600|S0|21|42.117.196|sd   |F5V+ G9             |297.7292|+13.2200
285.6248|+15.8003|Aql KP      |            | 1.6200| 0.0300| 1.6200| 0.0300|S0|  |44.119.036|Al   |F0V+F0V             |285.6248|+15.8003
286.0427|-02.0298|Aql V337    |HD 177284   |17.0000|       |10.0000|       |S0|  |30.119.025|sd/c:|B0.5V+B2V           |286.0427|-02.0298
286.5758|-11.6493|Aql V805    |HD 177708   | 2.1100| 0.0400| 1.6300| 0.0200|S0|  |29.119.038|d    |A2                  |286.5758|-11.6493
286.5758|-11.6493|Aql V805    |            | 1.8500|       | 1.5000|       |S0|  |02.117.001|     |A2+A8-9             |286.5758|-11.6493
283.8464|+09.3467|Aql V1182   |HD 175514   |29.0000| 5.0000|11.0000| 2.0000|S0|  |30.119.025|sd   |O9+B1               |283.8464|+09.3467
